,CODE_ARCHIVO,Latitud,Longitud,DPTO,MUNICIPIO,VARIEDAD,SIST_SIMPLE,FECHA_SIEMBRA,FECHA_EMERGENCIA,FECHA_COSECHA,ANO_COS,RENDIMIENTO_HA,ID,Cluster
713,RC,NA,NA,CASANARE,YOPAL,F67,SECANO,5/15/2015,,9/18/2015,2015,6685.625,RC79_2015_304,2
714,RC,NA,NA,CASANARE,YOPAL,F67,SECANO,5/18/2015,,9/21/2015,2015,3540.75,RC79_2015_337,2
715,RC,NA,NA,CASANARE,YOPAL,F67,SECANO,5/24/2015,,9/27/2015,2015,4865.25,RC79_2015_373,2
716,RC,NA,NA,CASANARE,YOPAL,F67,SECANO,5/29/2015,,10/2/2015,2015,4800,RC79_2015_399,2
717,RC,NA,NA,CASANARE,YOPAL,F67,SECANO,5/29/2015,,10/2/2015,2015,4920.625,RC79_2015_398,2
718,RC,NA,NA,CASANARE,YOPAL,F67,SECANO,6/28/2015,,11/1/2015,2015,6201.25,RC79_2015_465,2
719,RC,NA,NA,CASANARE,YOPAL,F67,SECANO,7/8/2015,,11/11/2015,2015,3418.75,RC79_2015_473,2
720,RC,NA,NA,CASANARE,YOPAL,F67,RIEGO,9/16/2015,,1/20/2016,2016,5353,RC79_2016_548,6
721,RC,NA,NA,CASANARE,YOPAL,F67,RIEGO,9/19/2015,,1/23/2016,2016,8750,RC79_2016_531,6
722,RC,NA,NA,CASANARE,YOPAL,F67,RIEGO,10/9/2015,,2/12/2016,2016,7000,RC79_2016_518,6
723,RC,NA,NA,CASANARE,YOPAL,F68,Riego,9/24/2014,,1/28/2015,2015,6250,RC79_2015_542,1
724,RC,NA,NA,CASANARE,YOPAL,F68,RIEGO,3/17/2015,,7/21/2015,2015,5969,RC79_2015_25,2
725,RC,NA,NA,CASANARE,YOPAL,F68,0,3/30/2015,,8/3/2015,2015,5437.5,RC79_2015_47,2
726,RC,NA,NA,CASANARE,YOPAL,F68,SECANO,4/16/2015,,8/20/2015,2015,3625,RC79_2015_138,2
727,RC,NA,NA,CASANARE,YOPAL,F68,SECANO,4/16/2015,,8/20/2015,2015,6562.5,RC79_2015_129,2
728,RC,NA,NA,CASANARE,YOPAL,F68,RIEGO,4/21/2015,,8/25/2015,2015,5466,RC79_2015_163,2
729,RC,NA,NA,CASANARE,YOPAL,F68,SECANO,4/23/2015,,8/27/2015,2015,5956.533193,RC79_2015_172,2
730,RC,NA,NA,CASANARE,YOPAL,F68,SECANO,4/24/2015,,8/28/2015,2015,5110,RC79_2015_181,2
731,RC,NA,NA,CASANARE,YOPAL,F68,SECANO,4/30/2015,,9/3/2015,2015,4568,RC79_2015_207,2
732,RC,NA,NA,CASANARE,YOPAL,F68,SECANO,5/2/2015,,9/5/2015,2015,4800,RC79_2015_218,2
733,RC,NA,NA,CASANARE,YOPAL,F68,SECANO,5/2/2015,,9/5/2015,2015,5616.25,RC79_2015_216,2
734,RC,NA,NA,CASANARE,YOPAL,F68,SECANO,5/2/2015,,9/5/2015,2015,5687.7,RC79_2015_215,2
